二级板块名称,二级板块编码,一级板块名称,一级板块编码
煤炭开采,881002,煤炭,881001
焦炭加工,881005,煤炭,881001
油气开采,881007,石油,881006
油服工程,881008,石油,881006
石油化工,881011,石油,881006
日用化工,881016,化工,881015
化纤,881019,化工,881015
化学原料,881026,化工,881015
化学制品,881034,化工,881015
塑料,881044,化工,881015
橡胶,881051,化工,881015
农用化工,881055,化工,881015
冶钢原料,881062,钢铁,881061
普钢,881065,钢铁,881061
特钢,881069,钢铁,881061
工业金属,881071,有色,881070
贵金属,881075,有色,881070
能源金属,881078,有色,881070
稀有金属,881082,有色,881070
金属新材料,881087,有色,881070
水泥,881091,建材,881090
玻璃纤维,881094,建材,881090
装饰建材,881097,建材,881090
非金属材料,881104,建材,881090
种植业,881106,农林牧渔,881105
养殖业,881111,农林牧渔,881105
林业,881115,农林牧渔,881105
渔业,881116,农林牧渔,881105
饲料,881119,农林牧渔,881105
农产品加工,881123,农林牧渔,881105
动物保健,881127,农林牧渔,881105
酿酒,881130,食品饮料,881129
饮料乳品,881136,食品饮料,881129
调味品,881139,食品饮料,881129
休闲食品,881140,食品饮料,881129
食品加工,881144,食品饮料,881129
纺织制造,881151,纺织服饰,881150
服装家纺,881157,纺织服饰,881150
饰品,881162,纺织服饰,881150
造纸,881167,轻工制造,881166
包装印刷,881171,轻工制造,881166
家居用品,881177,轻工制造,881166
文娱用品,881180,轻工制造,881166
白色家电,881184,家电,881183
黑色家电,881187,家电,881183
小家电,881190,家电,881183
厨卫电器,881194,家电,881183
家电零部件,881198,家电,881183
一般零售,881200,商贸,881199
商业物业经营,881204,商贸,881199
专业连锁,881205,商贸,881199
贸易,881206,商贸,881199
电子商务,881207,商贸,881199
乘用车,881212,汽车,881211
商用车,881215,汽车,881211
汽车零部件,881218,汽车,881211
汽车服务,881224,汽车,881211
摩托车及其他,881227,汽车,881211
化学制药,881231,医药医疗,881230
生物制品,881234,医药医疗,881230
医疗器械,881241,医药医疗,881230
医疗服务,881247,医药医疗,881230
医药商业,881252,医药医疗,881230
中药,881256,医药医疗,881230
医疗美容,881257,医药医疗,881230
电机制造,881261,电力设备,881260
电池,881262,电力设备,881260
电网设备,881268,电力设备,881260
光伏设备,881275,电力设备,881260
风电设备,881282,电力设备,881260
其他发电设备,881285,电力设备,881260
地面兵装,881287,国防军工,881286
航空装备,881288,国防军工,881286
航天装备,881289,国防军工,881286
航海设备,881290,国防军工,881286
军工电子,881291,国防军工,881286
轨交设备,881293,机械设备,881292
通用设备,881294,机械设备,881292
专用设备,881303,机械设备,881292
工程机械,881310,机械设备,881292
自动化设备,881313,机械设备,881292
半导体,881319,电子,881318
消费电子,881326,电子,881318
光学广电,881329,电子,881318
元器件,881333,电子,881318
其他电子,881336,电子,881318
通信设备,881338,通信,881337
电信服务,881344,通信,881337
通信工程,881347,通信,881337
IT设备,881352,计算机,881351
软件服务,881355,计算机,881351
云服务,881359,计算机,881351
产业互联网,881364,计算机,881351
游戏,881369,传媒,881368
广告营销,881370,传媒,881368
影视院线,881373,传媒,881368
数字媒体,881376,传媒,881368
出版社,881380,传媒,881368
广播电视,881384,传媒,881368
全国性银行,881386,银行,881385
地方性银行,881389,银行,881385
证券,881394,非银金融,881393
保险,881395,非银金融,881393
多元金融,881396,非银金融,881393
房屋建设,881406,建筑,881405
基础建设,881407,建筑,881405
专业工程,881410,建筑,881405
工程咨询服务,881415,建筑,881405
装修装饰,881416,建筑,881405
房地产开发,881418,房地产,881417
房产服务,881422,房地产,881417
体育,881427,社会服务,881426
教育培训,881428,社会服务,881426
酒店餐饮,881429,社会服务,881426
旅游,881432,社会服务,881426
专业服务,881436,社会服务,881426
公路铁路,881442,交通运输,881441
航空机场,881446,交通运输,881441
航运港口,881449,交通运输,881441
物流,881452,交通运输,881441
电力,881454,公共事业,881458
燃气,881467,公共事业,881458
水务,881468,公共事业,881458
环保设备,881470,环保,881469
环境治理,881471,环保,881469
环境监测,881476,环保,881469
综合类,881478,综合,881477